cluster,avg_km_day_mean,avg_km_day_median,fleet_size_mean,fleet_size_median,downtime_tol_min_mean,downtime_tol_min_median,pct_depot_charging_mean,pct_depot_charging_median,fleet_id_count
0,71.50819672131148,73.0,17.360655737704917,15.0,16.60655737704918,15.0,29.918032786885245,30.0,61
1,85.41176470588235,86.0,45.294117647058826,50.0,28.58823529411765,29.0,61.1764705882353,60.0,34
2,83.28125,84.0,15.9375,15.0,13.703125,13.0,77.71875,78.0,64
3,64.46666666666667,65.0,16.377777777777776,15.0,35.22222222222222,35.0,75.42222222222222,74.0,45
4,94.8913043478261,93.5,15.23913043478261,12.0,34.71739130434783,35.0,54.21739130434783,53.0,46
